node_A,node_B,node_C
D0556258,D0549280,D0538335
D0556258,D0549280,D0536374
D0556258,D0549280,D0540855
D0557334,D0549280,D0538335
D0557334,D0549280,D0536374
D0557334,D0549280,D0540855
D0556253,D0544907,D0537114
D0558262,D0544907,D0537114
D0558262,D0556253,D0544907
D0538843,D0538842,D0537470
D0539334,D0538842,D0537470
D0539837,D0538842,D0537470
D0545886,D0538842,D0537470
D0552669,D0538842,D0537470
D0539334,D0538843,D0537470
D0539334,D0538843,D0538842
D0539837,D0538843,D0537470
D0539837,D0538843,D0538842
D0545886,D0538843,D0537470
D0545886,D0538843,D0538842
D0552669,D0538843,D0537470
D0552669,D0538843,D0538842
D0539837,D0539334,D0537470
D0539837,D0539334,D0538842
D0539837,D0539334,D0538843
D0545886,D0539334,D0537470
D0545886,D0539334,D0538842
D0545886,D0539334,D0538843
D0552669,D0539334,D0537470
D0552669,D0539334,D0538842
D0552669,D0539334,D0538843
D0545886,D0539837,D0537470
D0545886,D0539837,D0538842
D0545886,D0539837,D0538843
D0545886,D0539837,D0539334
D0552669,D0539837,D0537470
D0552669,D0539837,D0538842
D0552669,D0539837,D0538843
D0552669,D0539837,D0539334
D0552669,D0545886,D0537470
D0552669,D0545886,D0538842
D0552669,D0545886,D0538843
D0552669,D0545886,D0539334
D0552669,D0545886,D0539837
D0545887,D0545886,D0537470
D0545887,D0545886,D0538842
D0545887,D0545886,D0538843
D0545887,D0545886,D0539334
D0545887,D0545886,D0539837
D0549280,D0540855,D0536374
D0556258,D0540855,D0536374
D0557334,D0540855,D0536374
D0541337,D0540855,D0536374
D0557334,D0556258,D0549280
D0557334,D0556258,D0536374
D0557334,D0556258,D0540855
D0552170,D0549771,D0534579
D0554698,D0549771,D0534579
D0554698,D0552170,D0534579
D0554698,D0552170,D0549771
D0542834,D0542333,D0536726
D0543231,D0542333,D0536726
D0545882,D0542333,D0536726
D0543231,D0542834,D0536726
D0543231,D0542834,D0542333
D0545882,D0542834,D0536726
D0545882,D0542834,D0542333
D0545882,D0543231,D0536726
D0545882,D0543231,D0542333
D0545882,D0543231,D0542834
D0553669,D0547361,D0544903
D0554694,D0547361,D0544903
D0555716,D0548273,D0548272
D0558257,D0548273,D0548272
D0557735,D0548273,D0548272
D0558257,D0555716,D0548272
D0558257,D0555716,D0548273
D0552167,D0548278,D0535324
D0553184,D0548278,D0535324
D0553184,D0552167,D0535324
D0553184,D0552167,D0548278
D0547368,D0538338,D0537477
D0551286,D0538338,D0537477
D0551286,D0547368,D0537477
D0551286,D0547368,D0538338
D0558257,D0557735,D0548272
D0558257,D0557735,D0548273
D0552669,D0550277,D0540849
D0580485,D0569421,D0559893
D0580971,D0569421,D0559893
D0580971,D0580485,D0559893
D0580971,D0580485,D0569421
D0581976,D0579973,D0575330
D0582471,D0562377,D0560711
D0574419,D0574418,D0574417
D0574420,D0574418,D0574417
D0574421,D0574418,D0574417
D0574422,D0574418,D0574417
D0579481,D0574418,D0574417
D0579482,D0574418,D0574417
D0574420,D0574419,D0574417
D0574420,D0574419,D0574418
D0574421,D0574419,D0574417
D0574421,D0574419,D0574418
D0574422,D0574419,D0574417
D0574422,D0574419,D0574418
D0579481,D0574419,D0574417
D0579481,D0574419,D0574418
D0579482,D0574419,D0574417
D0579482,D0574419,D0574418
D0574421,D0574420,D0574417
D0574421,D0574420,D0574418
D0574421,D0574420,D0574419
D0574422,D0574420,D0574417
D0574422,D0574420,D0574418
